player_id,season,total_yards,receiving_air_yards,yards_after_catch,rushing_yards,passing_yards,passing_air_yards,ypg
00-0027691,2013,471.0,850.0,113.0,0.0,0.0,0.0,29.44
00-0027691,2014,474.0,733.0,207.0,21.0,0.0,0.0,29.62
00-0027691,2015,135.0,246.0,38.0,0.0,0.0,0.0,19.29
00-0027691,2016,188.0,359.0,63.0,0.0,0.0,0.0,14.46
00-0027691,2017,12.0,20.0,7.0,0.0,0.0,0.0,3.0
00-0027691,2018,99.0,153.0,17.0,20.0,0.0,0.0,14.14
00-0027691,2019,27.0,109.0,5.0,7.0,0.0,0.0,5.4
00-0027691,2020,31.0,48.0,5.0,-3.0,0.0,0.0,10.33
00-0027691,2021,54.0,29.0,16.0,19.0,0.0,0.0,18.0
00-0031055,2014,851.0,-22.0,147.0,721.0,0.0,0.0,53.19
00-0031055,2015,266.0,6.0,3.0,259.0,0.0,0.0,16.62
00-0031055,2017,25.0,0.0,0.0,25.0,0.0,0.0,12.5
00-0038619,2023,116.0,215.0,35.0,0.0,0.0,0.0,12.89
00-0029668,2012,4398.0,0.0,0.0,270.0,4128.0,6379.0,274.88
00-0029668,2013,3993.0,0.0,0.0,390.0,3603.0,4662.0,249.56
00-0029668,2014,4885.0,0.0,0.0,285.0,4600.0,5476.0,305.31
00-0029668,2015,1997.0,0.0,0.0,202.0,1795.0,2824.0,285.29
00-0029668,2016,4332.0,0.0,0.0,356.0,3976.0,4472.0,288.8
00-0029668,2018,4631.0,8.0,0.0,164.0,4463.0,4770.0,289.44
00-0037292,2023,147.0,209.0,30.0,0.0,0.0,0.0,14.7
00-0027973,2012,3575.0,0.0,0.0,135.0,3440.0,4528.0,223.44
00-0027973,2013,4307.0,0.0,0.0,196.0,4111.0,5001.0,269.19
00-0027973,2014,3478.0,0.0,18.0,184.0,3276.0,3751.0,217.38
00-0027973,2015,3286.0,0.0,0.0,154.0,3132.0,3460.0,252.77
00-0027973,2016,4134.0,0.0,0.0,192.0,3942.0,4416.0,258.38
00-0027973,2017,3182.0,0.0,0.0,117.0,3065.0,4064.0,198.88
00-0027973,2018,2510.0,0.0,0.0,101.0,2409.0,2947.0,228.18
00-0027973,2019,3330.0,-8.0,4.0,87.0,3247.0,4278.0,256.15
00-0027973,2020,2101.0,-7.0,4.0,118.0,1986.0,2289.0,191.0
00-0027973,2021,1458.0,0.0,0.0,82.0,1376.0,1642.0,182.25
00-0027973,2022,2749.0,0.0,0.0,65.0,2684.0,2981.0,196.36
00-0027973,2023,346.0,0.0,0.0,12.0,334.0,477.0,173.0
00-0035527,2019,204.0,82.0,140.0,15.0,0.0,0.0,22.67
00-0035527,2020,218.0,394.0,82.0,-6.0,0.0,0.0,19.82
00-0035527,2021,13.0,6.0,7.0,0.0,0.0,0.0,13.0
00-0035527,2022,22.0,70.0,5.0,1.0,0.0,0.0,11.0
00-0032707,2018,80.0,219.0,26.0,0.0,0.0,0.0,16.0
00-0022084,2012,926.0,1206.0,237.0,3.0,0.0,0.0,61.73
00-0022084,2013,1190.0,1230.0,425.0,11.0,0.0,0.0,74.38
00-0022084,2014,1066.0,1270.0,400.0,4.0,0.0,18.0,66.62
00-0022084,2015,789.0,894.0,282.0,0.0,0.0,0.0,56.36
00-0022084,2016,584.0,546.0,231.0,0.0,0.0,0.0,36.5
00-0028163,2012,73.0,10.0,14.0,61.0,0.0,0.0,12.17
00-0026465,2012,12.0,107.0,3.0,0.0,0.0,0.0,6.0
00-0037175,2022,288.0,0.0,0.0,0.0,288.0,401.0,144.0
00-0027772,2012,78.0,0.0,0.0,78.0,0.0,0.0,9.75
00-0027772,2013,86.0,2.0,28.0,56.0,0.0,0.0,8.6
00-0027772,2014,481.0,11.0,44.0,432.0,0.0,0.0,37.0
00-0027772,2015,88.0,36.0,24.0,44.0,0.0,0.0,11.0
00-0024268,2012,334.0,466.0,90.0,0.0,0.0,0.0,20.88
00-0024268,2013,200.0,243.0,73.0,0.0,0.0,0.0,22.22
00-0024268,2014,226.0,262.0,80.0,0.0,0.0,0.0,16.14
00-0024268,2015,289.0,275.0,151.0,0.0,0.0,0.0,20.64
00-0024268,2016,83.0,105.0,38.0,0.0,0.0,0.0,8.3
00-0024268,2017,107.0,119.0,37.0,0.0,0.0,0.0,13.38
00-0033455,2018,225.0,133.0,97.0,0.0,0.0,0.0,28.12
00-0033455,2019,204.0,222.0,71.0,0.0,0.0,0.0,20.4
00-0033455,2020,387.0,371.0,143.0,0.0,0.0,0.0,25.8
00-0033455,2021,291.0,250.0,111.0,0.0,0.0,0.0,19.4
00-0033455,2022,100.0,108.0,20.0,0.0,0.0,0.0,12.5
00-0036336,2020,167.0,23.0,47.0,113.0,0.0,0.0,15.18
00-0036336,2021,14.0,0.0,11.0,3.0,0.0,0.0,7.0
00-0036336,2023,11.0,4.0,7.0,0.0,0.0,0.0,11.0
00-0034353,2018,457.0,604.0,170.0,26.0,8.0,-6.0,32.64
00-0034353,2019,655.0,865.0,217.0,-1.0,0.0,0.0,40.94
00-0034353,2020,497.0,735.0,148.0,12.0,0.0,0.0,31.06
00-0034353,2021,25.0,76.0,10.0,0.0,0.0,0.0,12.5
00-0039164,2023,689.0,0.0,0.0,137.0,552.0,676.0,172.25
00-0036999,2021,174.0,396.0,10.0,39.0,0.0,0.0,14.5
00-0036999,2022,108.0,142.0,27.0,57.0,0.0,0.0,18.0
00-0028074,2020,13.0,8.0,7.0,8.0,0.0,0.0,3.25
00-0038627,2023,2.0,11.0,1.0,0.0,0.0,0.0,1.0
00-0035126,2021,208.0,317.0,61.0,0.0,0.0,0.0,26.0
00-0026855,2012,0.0,-5.0,0.0,0.0,0.0,0.0,0.0
00-0026855,2013,155.0,46.0,5.0,145.0,0.0,0.0,38.75
00-0026855,2014,366.0,-5.0,233.0,144.0,0.0,0.0,36.6
00-0026855,2015,11.0,0.0,0.0,11.0,0.0,0.0,11.0
00-0026855,2016,124.0,35.0,74.0,47.0,0.0,0.0,41.33
00-0030789,2014,11.0,2.0,9.0,0.0,0.0,0.0,11.0
00-0030789,2015,735.0,43.0,175.0,520.0,41.0,26.0,52.5
00-0030789,2016,15.0,0.0,0.0,15.0,0.0,0.0,15.0
00-0027793,2012,811.0,1059.0,348.0,24.0,0.0,41.0,62.38
00-0027793,2013,1455.0,1763.0,570.0,4.0,8.0,11.0,90.94
00-0027793,2014,1733.0,1823.0,600.0,13.0,20.0,9.0,108.31
00-0027793,2015,1865.0,2110.0,600.0,28.0,-8.0,0.0,116.56
00-0027793,2016,1293.0,1584.0,434.0,9.0,0.0,0.0,86.2
00-0027793,2017,1535.0,2187.0,481.0,0.0,0.0,0.0,109.64
00-0027793,2018,1297.0,1891.0,485.0,0.0,0.0,12.0,86.47
00-0027793,2019,61.0,92.0,7.0,5.0,0.0,0.0,61.0
00-0027793,2020,481.0,549.0,251.0,-2.0,0.0,0.0,60.12
00-0027793,2021,551.0,734.0,190.0,6.0,0.0,0.0,78.71
00-0034772,2018,595.0,1093.0,236.0,7.0,0.0,0.0,37.19
00-0034772,2019,89.0,153.0,44.0,0.0,0.0,0.0,22.25
00-0034772,2020,20.0,28.0,3.0,0.0,0.0,0.0,6.67
00-0036340,2020,25.0,79.0,1.0,22.0,0.0,0.0,6.25
00-0021547,2017,316.0,432.0,66.0,0.0,0.0,0.0,19.75
00-0021547,2018,337.0,356.0,126.0,0.0,0.0,0.0,22.47
00-0036328,2020,1042.0,-36.0,301.0,795.0,0.0,0.0,74.43
00-0036328,2021,1333.0,-9.0,333.0,1039.0,0.0,0.0,83.31
00-0036328,2022,899.0,69.0,297.0,546.0,0.0,0.0,59.93
