team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards,pass_attempts,complete_pass,incomplete_pass,interception,receptions
LA,2013,27,37,34,26,27,10,8.63,8257,3976,3360,3360,1645,1766,494,301,193,11,301
LA,2014,28,40,34,24,28,11,9.23,8742,4232,3695,3695,1729,1645,497,327,170,16,327
LA,2015,14,31,27,21,14,16,8.51,7708,3807,2931,2931,1565,1970,460,273,187,11,273
LA,2016,20,29,23,19,20,9,7.92,7526,3907,3313,3313,1624,1262,515,312,203,20,312
LA,2017,29,48,48,40,29,18,10.04,9826,4054,4023,4019,2099,1976,509,320,189,7,320
LA,2018,33,56,51,34,33,23,11.03,11505,4906,4730,4730,2165,2258,554,368,186,12,368
LA,2019,26,47,42,24,26,20,10.21,10682,4869,4669,4669,2270,1512,614,397,217,17,397
LA,2020,22,43,38,24,22,20,9.56,10230,3937,4183,4179,2241,2035,574,392,182,14,392
LA,2021,45,56,48,32,45,11,10.77,11241,5134,4893,4893,2137,1702,589,406,183,18,406
LA,2022,19,35,31,28,19,15,8.4,8290,3712,3506,3506,1794,1676,514,347,167,15,347
LA,2023,27,47,32,32,27,18,9.56,10425,4507,4300,4298,2044,2056,567,361,206,13,361
LAC,2012,29,35,39,25,29,4,8.56,8371,3967,3606,3606,1796,1470,511,338,173,15,338
LAC,2013,34,44,42,35,34,10,10.26,10804,4218,4478,4505,2104,1971,532,378,154,11,378
LAC,2014,33,39,40,22,33,6,9.72,9764,4901,4296,4296,1927,1370,555,380,175,18,380
LAC,2015,35,39,28,26,35,4,9.87,10817,4838,4855,4855,2622,1367,653,442,211,13,442
LAC,2016,37,48,42,26,37,10,10.0,10100,4913,4386,4386,2020,1516,558,349,209,21,349
LAC,2017,29,40,37,20,29,11,10.57,10597,4780,4551,4551,2150,1615,570,366,204,11,366
LAC,2018,34,52,36,24,34,16,10.97,10304,3959,4316,4316,2130,1887,500,348,152,12,348
LAC,2019,26,39,35,26,26,13,10.67,10536,5079,4648,4648,2173,1460,574,394,180,20,394
LAC,2020,31,46,36,25,31,12,9.56,10674,4723,4548,4548,2299,1793,613,413,200,10,413
LAC,2021,41,60,40,24,41,18,10.4,11677,5093,5014,5014,2392,1849,658,443,215,15,443
LAC,2022,27,42,40,31,27,15,9.59,10907,4521,4791,4777,2538,1542,699,485,214,10,485
LAC,2023,27,38,35,31,27,11,9.04,9909,4733,4312,4295,2160,1658,623,409,214,8,409
LV,2012,26,30,25,31,26,4,9.54,9803,5300,4292,4292,2027,1423,609,376,233,16,376
LV,2013,20,39,37,21,20,16,9.05,8971,4185,3629,3623,1723,2008,498,298,200,20,298
LV,2014,25,31,28,19,25,5,8.11,7976,4949,3456,3456,1544,1245,607,365,242,16,365
LV,2015,37,44,38,21,37,7,9.51,9491,4743,4129,4141,1861,1469,590,373,217,14,373
LV,2016,29,47,37,29,29,17,9.82,10149,4594,4137,4137,1885,1953,587,379,208,7,379
LV,2017,26,39,33,16,26,13,9.5,8966,4655,3761,3767,1692,1564,544,347,197,14,347
LV,2018,22,32,27,27,22,9,9.66,9450,3785,4057,4057,1995,1640,539,382,157,10,382
LV,2019,25,38,34,19,25,13,10.12,9927,3468,4110,4101,2144,1900,513,367,146,8,367
LV,2020,31,51,45,33,31,20,10.28,10528,4491,4383,4383,2056,1926,536,369,167,10,369
LV,2021,25,40,30,40,25,15,10.26,11002,5115,4808,4808,2291,1627,611,429,182,14,429
LV,2022,31,43,35,34,31,12,9.71,10179,5359,4182,4182,1780,2061,569,359,210,17,359
LV,2023,21,32,32,26,21,11,8.63,8604,4283,3666,3661,1606,1559,537,348,189,18,348
MIA,2012,15,32,29,23,15,15,8.77,8430,4341,3425,3425,1271,1819,489,293,196,13,293
MIA,2013,26,34,33,26,26,8,9.08,8980,5690,3966,3966,1535,1447,571,357,214,19,357
MIA,2014,27,40,41,30,27,12,9.43,9680,4616,4066,4064,1874,1885,582,394,188,12,394
MIA,2015,26,37,33,13,26,11,9.87,9552,5154,4231,4231,1876,1506,574,365,209,12,365
MIA,2016,28,43,41,16,28,14,9.99,9047,3804,3716,3716,1796,1829,459,316,143,15,316
MIA,2017,27,32,26,21,27,4,8.83,8724,4884,3792,3792,1681,1395,580,373,207,21,373
MIA,2018,29,37,35,18,29,7,9.13,7905,3699,3309,3254,1722,1749,440,292,148,13,292
MIA,2019,24,35,29,23,24,10,8.97,9095,5463,4117,4117,1581,1168,594,371,223,18,371
MIA,2020,25,42,36,36,25,15,9.3,9385,4264,3937,3937,1654,1704,542,370,172,13,370
MIA,2021,22,34,34,23,22,12,8.45,9170,4473,3936,3936,1725,1579,599,404,195,14,404
MIA,2022,32,45,41,26,32,13,11.02,10969,5320,4765,4765,1789,1693,568,368,200,15,368
MIA,2023,34,62,58,24,34,27,11.14,11539,4306,4698,4698,2227,2327,549,393,156,15,393
MIN,2012,19,36,36,35,19,16,8.44,8343,3344,2935,2935,1610,2653,471,300,171,12,300
MIN,2013,22,48,43,26,22,23,9.11,9161,4720,3645,3645,1584,2089,527,325,202,19,325
MIN,2014,19,32,29,27,19,12,8.93,8633,3943,3566,3566,1836,1819,494,322,172,18,322
MIN,2015,14,34,33,34,14,18,8.75,8405,3273,3246,3246,1808,2229,445,294,151,9,294
MIN,2016,20,30,26,27,20,9,9.23,9179,3874,4119,4119,2030,1222,583,414,169,5,414
MIN,2017,25,41,34,32,25,15,9.35,9669,4006,3929,3929,1979,1983,519,357,162,8,357
MIN,2018,35,45,36,22,35,9,9.88,9842,4396,4298,4298,1947,1499,593,425,168,10,425
MIN,2019,26,45,40,27,26,19,9.8,9396,3535,3729,3725,1851,2146,458,319,139,8,319
MIN,2020,37,58,37,15,37,21,10.33,10579,4103,4265,4265,1936,2291,500,349,151,13,349
MIN,2021,34,48,36,33,34,10,9.88,10635,4844,4450,4450,1936,1945,592,398,194,7,398
MIN,2022,32,52,40,26,32,18,9.85,10972,5015,4818,4808,2102,1674,654,448,206,15,448
MIN,2023,31,38,36,24,31,7,9.99,10624,4929,4700,4700,1926,1563,609,424,185,19,424
NE,2012,35,61,66,29,35,25,9.91,11699,5531,4844,4844,2237,2193,629,402,227,9,402
NE,2013,26,47,44,38,26,21,9.39,10518,5288,4343,4343,2014,2084,613,380,233,11,380
NE,2014,36,49,51,35,36,13,9.63,10164,4869,4291,4291,1981,1752,600,392,208,9,392
